uniport_id,uniport_name
Q8WXS5,Voltage-dependent calcium channel gamma-8 subunit
Q8IZS8,Voltage-dependent calcium channel subunit alpha-2/delta-3
Q7Z3S7,Voltage-dependent calcium channel subunit alpha-2/delta-4
Q00975,Voltage-dependent N-type calcium channel subunit alpha-1B
P11168,"Solute carrier family 2, facilitated glucose transporter member 2"
Q89ZI2,O-GlcNAcase BT_4395
O60502,Protein O-GlcNAcase
Q92887,Canalicular multispecific organic anion transporter 1
P33527,Multidrug resistance-associated protein 1
Q96S37,Solute carrier family 22 member 12
P15121,Aldose reductase
O60218,Aldo-keto reductase family 1 member B10
Q15125,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase"
P17252,Protein kinase C alpha type
P05771,Protein kinase C beta type
Q05655,Protein kinase C delta type
Q02156,Protein kinase C epsilon type
P05129,Protein kinase C gamma type
P41743,Protein kinase C iota type
Q04759,Protein kinase C theta type
Q05513,Protein kinase C zeta type
P45983,Mitogen-activated protein kinase 8
P02359,30S ribosomal protein S7
P0AG59,30S ribosomal protein S14
P0A7V3,30S ribosomal protein S3
P0A7W7,30S ribosomal protein S8
P0A7U3,30S ribosomal protein S19
P04156,Major prion protein
C9EH48,Multidrug translocase MdfA
Q9UM07,Protein-arginine deiminase type-4
P21554,Cannabinoid receptor 1
P34972,Cannabinoid receptor 2
Q99829,Copine-1
Q8TCT9,Minor histocompatibility antigen H13
Q15155,Nodal modulator 1
P09874,Poly [ADP-ribose] polymerase 1
Q7Z5B4,Protein RIC-3
Q9Y4R7,Tubulin monoglycylase TTLL3
P06756,Integrin alpha-V
P05106,Integrin beta-3
P00720,Endolysin
P48048,ATP-sensitive inward rectifier potassium channel 1
P00352,Retinal dehydrogenase 1
Q8NFJ5,Retinoic acid-induced protein 3
O94788,Retinal dehydrogenase 2
P49788,Retinoic acid receptor responder protein 1
P31025,Lipocalin-1
Q9NY56,Odorant-binding protein 2a
P02753,Retinol-binding protein 4
Q16654,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial"
O43174,Cytochrome P450 26A1
Q9NR63,Cytochrome P450 26B1
O60760,Hematopoietic prostaglandin D synthase
P63316,"Troponin C, slow skeletal and cardiac muscles"
P26447,Protein S100-A4
P0ABQ4,Dihydrofolate reductase
P52895,Aldo-keto reductase family 1 member C2
Q96RI1,Bile acid receptor
P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
Q9UKV0,Histone deacetylase 9
Q02218,"2-oxoglutarate dehydrogenase, mitochondrial"
P51649,"Succinate-semialdehyde dehydrogenase, mitochondrial"
Q9UJT1,Tubulin delta chain
P23258,Tubulin gamma-1 chain
Q9UJT0,Tubulin epsilon chain
P05412,Transcription factor AP-1
P68366,Tubulin alpha-4A chain
P22033,"Methylmalonyl-CoA mutase, mitochondrial"
Q8IVH4,"Methylmalonic aciduria type A protein, mitochondrial"
Q9Y4U1,Methylmalonic aciduria and homocystinuria type C protein
P42898,Methylenetetrahydrofolate reductase
Q72547,Reverse transcriptase/RNaseH
O14746,Telomerase reverse transcriptase
P43116,Prostaglandin E2 receptor EP2 subtype
P34995,Prostaglandin E2 receptor EP1 subtype
P43115,Prostaglandin E2 receptor EP3 subtype
P35408,Prostaglandin E2 receptor EP4 subtype
Q9Y6L6,Solute carrier organic anion transporter family member 1B1
O94956,Solute carrier organic anion transporter family member 2B1
Q9NPD5,Solute carrier organic anion transporter family member 1B3
P07288,Prostate-specific antigen
P02585,"Troponin C, skeletal muscle"
F1L7U3,Tubulin beta-2 chain
P83223,Fumarate reductase flavoprotein subunit
P29498,14 kDa fatty acid-binding protein
P46663,B1 bradykinin receptor
P0A7J6,50S ribosomal protein L10
P31350,Ribonucleoside-diphosphate reductase subunit M2
Q7LG56,Ribonucleoside-diphosphate reductase subunit M2 B
P09884,DNA polymerase alpha catalytic subunit
Q07864,DNA polymerase epsilon catalytic subunit A
P56282,DNA polymerase epsilon subunit 2
Q9NRF9,DNA polymerase epsilon subunit 3
Q9NR33,DNA polymerase epsilon subunit 4
P00491,Purine nucleoside phosphorylase
Q8WXA8,5-hydroxytryptamine receptor 3C
Q70Z44,5-hydroxytryptamine receptor 3D
A5X5Y0,5-hydroxytryptamine receptor 3E
Q13639,5-hydroxytryptamine receptor 4
Q16850,Lanosterol 14-alpha demethylase
Q15788,Nuclear receptor coactivator 1
P31749,RAC-alpha serine/threonine-protein kinase
P42345,Serine/threonine-protein kinase mTOR
P62942,Peptidyl-prolyl cis-trans isomerase FKBP1A
P09038,Fibroblast growth factor 2
Q7RTT9,Equilibrative nucleoside transporter 4
Q6FHJ7,Secreted frizzled-related protein 4
